Place,Player,Registration code,Advertiser,Profile,Cardroom,Chips,Bets + fees,Total win,Jackpot win
23,ryaldo,8567773414,who_migrated,-,whpoker,0,€1.00,€0.00,0
24,miraclecard,8567778183,defaultgrosvenor.poker,-,grosvenor.poker,0,€1.00,€0.00,0
25,canisjoplen333,8567762934,Google,-,bifortuna.cz,0,€1.00,€0.00,0
26,mitta2,8567758541,defaultvx,-,redstar,0,€1.00,€0.00,0
27,BestForever1,8567767724,defaultvx,-,redstar,0,€1.00,€0.00,0
28,123mannsky,8567756109,defaultskypoker.com,-,skypoker.com,0,€1.00,€0.00,0
29,ryaldo,8567757725,who_migrated,-,whpoker,0,€1.00,€0.00,0
30,Bromden78,8567752777,default7z,-,paddypowerpoker.com,0,€1.00,€0.00,0
31,LenRahj,8567757291,defaultskypoker.com,-,skypoker.com,0,€1.00,€0.00,0
32,prazzor1,8567719263,defaultvx,-,redstar,0,€1.00,€0.00,0
33,LenRahj,8567750011,defaultskypoker.com,-,skypoker.com,0,€1.00,€0.00,0
34,myskooooo,8567755912,no_affiliate_cz,-,bifortuna.cz,0,€1.00,€0.00,0
35,123mannsky,8567752735,defaultskypoker.com,-,skypoker.com,0,€1.00,€0.00,0
36,snoozeyaaloseee,8567698182,defaultskypoker.com,-,skypoker.com,0,€1.00,€0.00,0
37,tripsdiamond93,8567746506,default8t,-,coolbet,0,€1.00,€0.00,0
38,LenRahj,8567739991,defaultskypoker.com,-,skypoker.com,0,€1.00,€0.00,0
39,Goallinnnn,8567723969,defaulthollandcasino,-,hollandcasino,0,€1.00,€0.00,0
40,lemonfire377,8567740142,defaultgrosvenor.poker,-,grosvenor.poker,0,€1.00,€0.00,0
41,Maddy41,8567715466,pokerarenacz,-,bifortuna.cz,0,€1.00,€0.00,0
1,Serdika,8567450395,default2k,-,bet365poker.bg,4650500,€1.00,€0.00,0
1,WzLMeisser,8567460483,defaultfm,-,swisscasino.ch,43405000,€1.00,€0.00,0
1,Palandorian,8567370825,defaultvx,-,redstar,33183800,€1.00,€0.00,0
1,Fishburger22,8567445696,defaultvx,-,redstar,28370300,€1.00,€0.00,0
1,Robson23,8567437764,defaultvx,-,redstar,30941300,€1.00,€0.00,0
1,dHarwood,8567454374,defaultgrosvenor.poker,-,grosvenor.poker,42951300,€1.00,€0.00,0
1,Ciubikas,8567465755,defaultbetsafe.lt,-,betsafe.lt,12983600,€1.00,€0.00,0
1,Fontana0,8567461313,defaultfm,-,swisscasino.ch,13514200,€1.00,€0.00,0
9,bstcod,8567447759,defaultgrosvenor.poker,-,grosvenor.poker,0,€1.00,€0.00,0
10,tzole90,8567461913,defaultnovibet.gr,-,novibet.gr,0,€1.00,€0.00,0
11,rosoterror13,8567465517,no_affiliate_cz,-,bifortuna.cz,0,€1.00,€0.00,0
12,nevermore111,8567432638,defaultvx,-,redstar,0,€1.00,€0.00,0
13,Sweetcorn21,8567448445,defaultskypoker.com,-,skypoker.com,0,€1.00,€0.00,0
14,Fontana0,8567451595,defaultfm,-,swisscasino.ch,0,€1.00,€0.00,0
15,0z1979,8567444283,default1o,-,svenskaspel,0,€1.00,€0.00,0
16,Bonno20,8567455208,no_affiliate_cz,-,bifortuna.cz,0,€1.00,€0.00,0
17,dHarwood,8567444195,defaultgrosvenor.poker,-,grosvenor.poker,0,€1.00,€0.00,0
18,KentaHoof,8567442157,defaultnovibet.gr,-,novibet.gr,0,€1.00,€0.00,0
19,EnjoyDrg,8567443264,RO_PPC_SPB_Brand_Google,-,efortuna,0,€1.00,€0.00,0
20,Serdika,8567443672,default2k,-,bet365poker.bg,0,€1.00,€0.00,0
21,bstcod,8567426943,defaultgrosvenor.poker,-,grosvenor.poker,0,€1.00,€0.00,0
1,Stokecity88,8567992214,default7z,-,paddypowerpoker.com,3422200,€1.00,€0.00,0
1,alekei716,8568022127,default8t,-,coolbet,5556000,€1.00,€0.00,0
1,NSiv,8567995450,defaultgrosvenor.poker,-,grosvenor.poker,1698000,€1.00,€0.00,0
1,LosDebaRivRos,8568033010,no_affiliate_cz,-,bifortuna.cz,7282400,€1.00,€0.00,0
1,Star345,8567959653,no_affiliate_cz,-,bifortuna.cz,14041400,€1.00,€0.00,0
6,Canderson666,8568022396,defaultbetfredew5,47101,betfredew5,0,€1.00,€0.00,0
7,demonjolly324,8568015958,default2k,-,bet365poker.bg,0,€1.00,€0.00,0
8,mpatalamas,8567990188,no_affiliate_cz,-,bifortuna.cz,0,€1.00,€0.00,0
9,THEHAPPYBAKKERY,8568031002,default7z,-,paddypowerpoker.com,0,€1.00,€0.00,0
10,doowyah,8567993143,BetfairOG,-,betfairpoker,0,€1.00,€0.00,0
11,Moriartry,8568015560,defaultgrosvenor.poker,-,grosvenor.poker,0,€1.00,€0.00,0
12,clownfirst699,8568033070,defaultnovibet.gr,-,novibet.gr,0,€1.00,€0.00,0
13,mourgos07,8568031787,defaultnovibet.gr,-,novibet.gr,0,€1.00,€0.00,0
14,clownfirst699,8568030929,defaultnovibet.gr,-,novibet.gr,0,€1.00,€0.00,0
15,jehla1981,8567972430,no_affiliate_cz,-,bifortuna.cz,0,€1.00,€0.00,0
16,Ellaholl,8568028434,defaultgrosvenor.poker,-,grosvenor.poker,0,€1.00,€0.00,0
17,THEHAPPYBAKKERY,8568027220,default7z,-,paddypowerpoker.com,0,€1.00,€0.00,0
18,dannyjl4444,8568026815,defaultbetfredew5,100724,betfredew5,0,€1.00,€0.00,0
19,computerpearl83,8568029107,default7z,-,paddypowerpoker.com,0,€1.00,€0.00,0
